--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Sun Oct  1 16:53:53 2023
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'pid': 15348, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 2.7109375}
{'name': 'Widgets.exe', 'pid': 15388, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 2.53515625}
{'name': 'msedgewebview2.exe', 'pid': 15472, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 2.09375}
{'name': 'Code.exe', 'pid': 15736, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 33.0234375}
{'name': 'PhoneExperienceHost.exe', 'pid': 15892, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 74.13671875}
{'name': 'chrome.exe', 'pid': 15928, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 139.5078125}
{'name': 'svchost.exe', 'pid': 16044, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.62109375}
{'name': 'XtuService.exe', 'pid': 16120, 'username': None, 'vms': 86.48828125}
{'name': 'msedgewebview2.exe', 'pid': 16132, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 16.9609375}
{'name': 'SystemSettings.exe', 'pid': 16252, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 93.7890625}
{'name': 'StartMenuExperienceHost.exe', 'pid': 16268, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 86.4765625}
{'name': 'conhost.exe', 'pid': 16288, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.23828125}
{'name': 'Code.exe', 'pid': 16332, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 313.27734375}
{'name': 'NVIDIA Share.exe', 'pid': 16396, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 47.7578125}
{'name': 'dwm.exe', 'pid': 16400, 'username': None, 'vms': 156.56640625}
{'name': 'msedgewebview2.exe', 'pid': 16556, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 73.4765625}
{'name': 'EMAILSCN.EXE', 'pid': 16560, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 6.34375}
{'name': 'WidgetService.exe', 'pid': 16608, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 4.53125}
{'name': 'utorrentie.exe', 'pid': 16652, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 3.1484375}
{'name': 'explorer.exe', 'pid': 16664, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 157.0078125}
{'name': 'Code.exe', 'pid': 16804, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 41.5078125}
{'name': 'SearchHost.exe', 'pid': 17224, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 271.38671875}
{'name': 'update.exe', 'pid': 17232, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.1328125}
{'name': 'RuntimeBroker.exe', 'pid': 17344, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 15.7109375}
{'name': 'svchost.exe', 'pid': 17348, 'username': None, 'vms': 1.1484375}
{'name': 'svchost.exe', 'pid': 17528, 'username': None, 'vms': 4.359375}
{'name': 'Dell.D3.WinSvc.exe', 'pid': 17536, 'username': None, 'vms': 112.67578125}
{'name': 'Code.exe', 'pid': 17624, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 153.48046875}
{'name': 'Code.exe', 'pid': 17768, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 148.52734375}
{'name': 'chrome.exe', 'pid': 17776, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 22.2421875}
{'name': 'msedgewebview2.exe', 'pid': 17784, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 34.73046875}
{'name': 'conhost.exe', 'pid': 18184, 'username': None, 'vms': 5.30859375}
{'name': 'svchost.exe', 'pid': 18188, 'username': None, 'vms': 2.17578125}
{'name': 'Code.exe', 'pid': 18256, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 45.65625}
{'name': 'GoogleInputHandler.exe', 'pid': 18424, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 5.3359375}
{'name': 'conhost.exe', 'pid': 18460, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.234375}
{'name': 'svchost.exe', 'pid': 18796, 'username': None, 'vms': 2.984375}
{'name': 'Code.exe', 'pid': 18940, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 83.78125}
{'name': 'Code.exe', 'pid': 19100, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 14.62109375}
{'name': 'vgtray.exe', 'pid': 19324, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.76953125}
{'name': 'msedge.exe', 'pid': 19416, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 56.078125}
{'name': 'nvsphelper64.exe', 'pid': 19548, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 3.56640625}
{'name': 'AWCC.Background.Server.exe', 'pid': 19560, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 36.5625}
{'name': 'ApplicationFrameHost.exe', 'pid': 19568, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 11.48046875}
{'name': 'powershell.exe', 'pid': 19628, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 53.38671875}
{'name': 'utorrentie.exe', 'pid': 19748, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 3.1171875}
{'name': 'ShellExperienceHost.exe', 'pid': 19920, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 44.16796875}
{'name': 'svchost.exe', 'pid': 20008, 'username': None, 'vms': 21.37890625}
{'name': 'RuntimeBroker.exe', 'pid': 20388, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 6.4609375}
